element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,playername,web_name,position
280,21,1,10,FALSE,2023-08-26T14:00:00Z,2,2,3,90,1,0,0,2,0,0,0,0,0,0,3,33,55.2,3.3,22.0,8.1,1,0.17,0.01,0.18,3.25,50,-871,11355,546,1417,João Palhinha Gonçalves,J.Palhinha,MID
280,39,13,0,FALSE,2023-09-02T14:00:00Z,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,7019,21203,9222,2203,João Palhinha Gonçalves,J.Palhinha,MID
281,5,9,7,FALSE,2023-08-12T14:00:00Z,0,1,1,90,0,0,1,0,0,0,0,0,0,0,1,28,15.8,0.6,0.0,1.6,1,0.00,0.00,0.00,2.73,45,0,37677,0,0,Tim Ream,Ream,DEF
281,13,4,-2,TRUE,2023-08-19T14:00:00Z,0,3,2,63,0,0,0,3,0,0,0,0,1,0,0,1,0.0,1.8,2.0,0.3,1,0.00,0.01,0.01,6.46,45,12425,62637,15386,2961,Tim Ream,Ream,DEF
281,21,1,0,FALSE,2023-08-26T14:00:00Z,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-21490,39883,531,22021,Tim Ream,Ream,DEF
281,39,13,7,FALSE,2023-09-02T14:00:00Z,5,1,4,90,1,0,0,5,0,0,0,0,0,0,1,28,44.0,0.2,35.0,7.9,1,0.96,0.01,0.97,2.26,45,-4008,37196,424,4432,Tim Ream,Ream,DEF
282,5,9,3,FALSE,2023-08-12T14:00:00Z,0,1,1,90,0,0,1,0,0,0,0,0,0,0,0,13,13.2,12.8,2.0,2.8,1,0.00,0.08,0.08,2.73,50,0,86790,0,0,Harrison Reed,Reed,MID
282,13,4,1,TRUE,2023-08-19T14:00:00Z,0,3,2,66,0,0,0,2,0,0,0,1,0,0,0,9,13.0,33.8,2.0,4.9,1,0.00,0.08,0.08,1.94,50,-6612,81757,1553,8165,Harrison Reed,Reed,MID
282,21,1,4,FALSE,2023-08-26T14:00:00Z,2,2,3,20,0,1,0,1,0,0,0,0,0,0,0,13,17.0,14.0,0.0,3.1,0,0.00,0.03,0.03,0.94,49,-14960,67179,457,15417,Harrison Reed,Reed,MID
282,39,13,2,FALSE,2023-09-02T14:00:00Z,5,1,4,90,0,0,0,5,0,0,0,0,0,0,0,14,5.2,0.8,0.0,0.6,1,0.00,0.00,0.00,2.26,49,-10759,57053,1113,11872,Harrison Reed,Reed,MID
283,5,9,6,FALSE,2023-08-12T14:00:00Z,0,1,1,90,0,0,1,0,0,0,0,0,0,0,0,25,21.2,2.8,6.0,3.0,1,0.00,0.01,0.01,2.73,45,0,51917,0,0,Antonee Robinson,Robinson,DEF
283,13,4,1,TRUE,2023-08-19T14:00:00Z,0,3,2,90,0,0,0,3,0,0,0,0,0,0,0,12,6.6,4.1,0.0,1.1,1,0.00,0.03,0.03,3.80,45,7630,70130,10551,2921,Antonee Robinson,Robinson,DEF
283,21,1,1,FALSE,2023-08-26T14:00:00Z,2,2,3,90,0,0,0,2,0,0,0,0,0,0,0,11,19.4,15.0,0.0,3.4,1,0.00,0.08,0.08,3.25,45,-5396,65665,2113,7509,Antonee Robinson,Robinson,DEF
